n,d,epsilon,delta,mechanism1_mse,mechanism2_mse,mechanism3_mse,mechanism1_sd,mechanism2_sd,mechanism3_sd
10,1,0.05,1e-06,21331.488373175136,11207.063933165477,4908.566244209824,144.73283930068416,105.04998744760876,69.71368246229699
10,1,0.05,1e-05,17879.828856971733,8964.866329857554,3325.08753480024,132.88526399703608,93.74419684646986,57.3263058881386
10,1,0.05,0.0001,13676.733866599414,8315.47735134184,2038.4003212219498,115.84849221249404,90.56724882385542,44.895564590187625
10,1,0.1,1e-06,5088.5811386077185,2861.638320668888,1368.4868861311106,70.38536463419037,53.034463523262545,36.773666521079576
10,1,0.1,1e-05,4130.852293477612,2230.3391382298055,900.7594530786658,63.80183040608631,46.82985281699447,29.784595959640182
10,1,0.1,0.0001,3453.8146578556443,1946.7952026139887,573.2004347012282,58.234679329913476,43.65479477044205,23.72055483568561
10,1,0.5,1e-06,198.53995291610002,108.91318028719459,64.77231128861015,13.978171279704544,10.370744936195816,8.003757285822655
10,1,0.5,1e-05,162.40139754933858,93.40766732801816,51.69276108928102,12.6836991747472,9.595605394537928,7.151659858660348
10,1,0.5,0.0001,149.65117287950548,78.41198321676453,35.603105839956974,12.147375617781474,8.810014840867222,5.904114619609922
10,1,1.0,1e-06,48.305176772581056,28.464669021627184,17.867221364241015,6.915331432072743,5.300744967080474,4.191503566427412
10,1,1.0,1e-05,43.87791615156124,21.297399286005195,13.718573700816282,6.559911392589751,4.585480510817225,3.682790044501779
10,1,1.0,0.0001,35.88840222737036,18.589535234351107,10.91094676911721,5.935275942184267,4.282013419342088,3.286380798318432
10,1,2.0,1e-06,13.304100001778483,7.083590835730216,4.823943641045063,3.6248536630241537,2.630316731598243,2.17801696864287
10,1,2.0,1e-05,11.120140441654433,5.863626429094205,3.9627363382027463,3.3144321226965596,2.4056940721520226,1.9790538501740005
10,1,2.0,0.0001,9.632010438709857,4.547731340917971,2.961410268411592,3.0805933271994332,2.1241959228435516,1.705777580489491
10,1,5.0,1e-06,2.0344299552272727,1.1519496914136336,0.9879483908961427,1.4165202888469077,1.0647583748725522,0.9862043923597044
10,1,5.0,1e-05,1.7098483189824734,0.9630950449663018,0.7622861922858143,1.2997399143392696,0.9708346925818926,0.8644120586681197
10,1,5.0,0.0001,1.357205786508402,0.7185475819846903,0.6520203783532172,1.1577689525452504,0.8420887723005228,0.7973729765062294
10,5,0.05,1e-06,20044.817300128576,11409.768760643352,5022.70466384651,140.12938416619576,106.30524969092816,70.42851841659323
10,5,0.05,1e-05,17534.442543541063,9173.01466318368,3230.280123944672,131.25361605073425,95.31653392054346,56.39365891409013
10,5,0.05,0.0001,13653.181808968226,7263.5432905089765,2089.9865590894697,116.27938029264983,84.5328574789203,45.41462877537152
10,5,0.1,1e-06,5022.752539427267,2801.8430239741733,1260.8710674564327,70.36698210380126,52.471379192609014,35.30787188797824
10,5,0.1,1e-05,4316.196012074676,2368.30511278801,966.2772060410156,65.2213221919317,48.17446547235268,30.880623744815203
10,5,0.1,0.0001,3547.742678980264,1791.8426107970968,617.013578284175,59.382937802784895,41.777144295317065,24.736106997539935
10,5,0.5,1e-06,227.9882769012936,118.58076397830214,63.45694416864976,14.979823480331913,10.78783045844269,7.882937122442203
10,5,0.5,1e-05,166.0797160126435,96.46273981504571,47.21335792192848,12.795355770979544,9.692402062235471,6.816228954661417
10,5,0.5,0.0001,134.51983626187203,75.64929971926549,34.024585647530635,11.517149778254023,8.641594347331742,5.808264810398029
10,5,1.0,1e-06,55.66835581096494,28.259325103112083,18.065422405206203,7.41005169316621,5.282791775978152,4.223452911266697
10,5,1.0,1e-05,46.61287199994196,24.852848859938497,13.239399263081257,6.7587146552468385,4.963080777585525,3.6156107732982945
10,5,1.0,0.0001,32.03455710830093,18.633419362107112,10.404753117678641,5.6200150565292315,4.283352671577447,3.2088462707242242
10,5,2.0,1e-06,12.47496592348934,7.441889094385267,4.980613627149334,3.4894730335052393,2.705723137033261,2.2218914695024723
10,5,2.0,1e-05,10.536767989740188,5.455258921695244,4.209170244092414,3.221609988916834,2.317684743596576,2.0409482121832787
10,5,2.0,0.0001,9.184499316829768,4.663457849751948,3.023053589795181,3.00288553893702,2.150097961586842,1.7257111291546614
10,5,5.0,1e-06,2.004462594125454,1.0407521407757376,0.9665490587491666,1.4091341579237302,1.012345762815572,0.9795023135370959
10,5,5.0,1e-05,1.7151924507719016,0.9723364866756375,0.8386667816935832,1.3017280966457903,0.9822254177534641,0.9079068148191837
10,5,5.0,0.0001,1.3787380532792717,0.7225624367227989,0.6790918663417316,1.1680771604615598,0.8413658067070726,0.819230417923235
10,10,0.05,1e-06,21542.81188811399,11479.058491010559,5087.647825337326,145.68982325637907,106.28578948362915,71.06895199539568
10,10,0.05,1e-05,18211.530694226407,9749.859666818977,3487.067863221452,134.1263703792782,97.94325611216195,58.8101114966711
10,10,0.05,0.0001,13895.778950525415,7810.990618721946,2281.5453860392176,117.3108682103073,87.72576457033169,47.33068491002207
10,10,0.1,1e-06,5442.347893993148,3064.9126773314697,1275.7338762396726,73.33572297197307,55.0685245915652,35.481554720067045
10,10,0.1,1e-05,4418.728216600781,2502.0930923980422,925.3568484618438,65.9220879899315,49.6315540149974,30.084535928382103
10,10,0.1,0.0001,3627.418965430028,1721.066527415558,600.5007832251673,59.93962368864383,41.27154229325519,24.404060510606158
10,10,0.5,1e-06,217.3335694826043,118.48212490573003,62.05057310110666,14.64525143186388,10.787936140459491,7.8219208591792535
10,10,0.5,1e-05,169.97298215000302,97.21251120672136,49.84823281805756,12.864890727273792,9.762328565765962,7.007875786849804
10,10,0.5,0.0001,141.67479958212485,76.03333199397505,38.12566735144977,11.80704377000065,8.654772912361995,6.111508032610585
10,10,1.0,1e-06,47.86984163792629,27.940442531197437,17.999324700886316,6.852566134731424,5.211620407836743,4.217059901464918
10,10,1.0,1e-05,46.10157105913864,25.255286317280998,14.069229473416163,6.7602507265577305,4.9913693780093835,3.7295154396347314
10,10,1.0,0.0001,35.12248873045361,19.30211329513241,11.010558345362957,5.88749631602387,4.353117156909017,3.293631508016902
10,10,2.0,1e-06,12.530670921893883,7.16021222446409,4.969149721843946,3.508785914798623,2.657967734971236,2.2110479047356724
10,10,2.0,1e-05,10.350959908931419,5.811938114046989,3.927756645772399,3.1921314538371273,2.3978473799900204,1.972874313639693
10,10,2.0,0.0001,8.696175411151936,4.436460857545645,3.024058961814255,2.9331358178356455,2.092700056947174,1.723504412606772
10,10,5.0,1e-06,2.0025046328556675,1.1928505893648078,0.9766333617562559,1.4015066343496874,1.0819235032171681,0.9774584944376702
10,10,5.0,1e-05,1.7587354020662758,0.9263559899919912,0.7793990723908785,1.3202315375487264,0.9561442311466081,0.8781021673878951
10,10,5.0,0.0001,1.3930738776330318,0.7617220086655286,0.6545507430185319,1.175354361203782,0.8662796299461443,0.8053108010082919
10,50,0.05,1e-06,22713.70247733427,11228.15656255531,4624.118399875686,148.91495198881125,104.79201026693356,67.60459616911999
10,50,0.05,1e-05,17563.596428684745,10300.963656430926,3163.5401080578313,131.44333897998845,100.58119573013138,55.70181731534849
10,50,0.05,0.0001,14604.605967771835,8179.345706369415,2040.6499011887706,119.81874722483249,89.67567744805964,44.92971112897321
10,50,0.1,1e-06,5077.2485010724795,2916.8107079617325,1331.3885647259729,70.83331782158817,53.591684342621136,36.27352053143841
10,50,0.1,1e-05,4173.223716148022,2469.768936825648,968.2624673823948,64.10124328136469,49.46788863985843,30.892582807786773
10,50,0.1,0.0001,3496.5712375742296,1862.892230498342,581.604888657055,58.72413604460128,42.913924091935044,23.868372138697417
10,50,0.5,1e-06,201.10869875373675,112.09692587602062,62.438163384070606,14.038791942507881,10.522554532636574,7.8648324876521585
10,50,0.5,1e-05,178.43454885481015,99.90072237712383,49.13767663595512,13.25609288536783,9.887970609592571,6.957446231970304
10,50,0.5,0.0001,147.88909016750074,73.49975648687575,35.29935268526458,12.051649385043877,8.503624209792104,5.917532155019521
10,50,1.0,1e-06,49.68306644113636,28.987669711754215,17.305621412756093,7.019116704832915,5.334374379376369,4.126695656287762
10,50,1.0,1e-05,44.268659135800135,22.11688848829559,13.492685356025891,6.596162082120339,4.656869888360375,3.6538944073290778
10,50,1.0,0.0001,35.75019187804997,18.91834043871187,10.557591549944714,5.943339930881602,4.322093123064941,3.223751716580119
10,50,2.0,1e-06,13.839390323888782,6.907341812375781,4.754504478120334,3.6961206786182084,2.612099660660537,2.167896051478942
10,50,2.0,1e-05,10.55178356388413,5.617109471999015,3.990933248891107,3.2098089711286386,2.3493387458613553,1.9734500934115917
10,50,2.0,0.0001,9.277293341186157,4.691963666062646,2.9363157788007404,3.0210497803957406,2.1579173607609348,1.698286287116415
10,50,5.0,1e-06,2.0905939503102067,1.1161366254233276,0.9374022739495382,1.4323188850349546,1.044663403713349,0.9601396059023184
10,50,5.0,1e-05,1.6909470376542437,0.9261291895634013,0.7732459948407182,1.2849099948667346,0.9510958016739857,0.8758607284603954
10,50,5.0,0.0001,1.4722124155398977,0.7557613073491918,0.6166730672455805,1.2038835336760363,0.8631273290277216,0.7819966800550002
10,100,0.05,1e-06,19740.02998378363,10948.86906139533,5017.411467736425,139.36890426157228,104.1337424244495,69.89947858743993
10,100,0.05,1e-05,17758.447826694028,9059.10128945631,3103.031080140626,132.00853336578092,94.40899684302573,55.30929305003475
10,100,0.05,0.0001,13361.83215458387,6985.5659280417385,1879.6485774612422,114.5171256861939,83.27288969625968,43.06061546207236
10,100,0.1,1e-06,5383.445132197815,2732.4692542186144,1323.853212704635,72.9010296899452,51.687075592910844,35.965047155308966
10,100,0.1,1e-05,4281.143977904498,2329.41455161688,912.249208743412,65.01486296744409,48.09578633337677,29.95058823313658
10,100,0.1,0.0001,3579.535973092581,1785.415977136378,566.7490495859577,59.313314750996746,42.043555259514655,23.672684107277234
10,100,0.5,1e-06,203.5407115515223,111.44049227895046,69.58214165538192,14.195150466552567,10.512364265900215,8.299011510052484
10,100,0.5,1e-05,179.2870673482127,97.79750665085307,50.79828691896836,13.258051893602254,9.819558751452233,7.053465643842507
10,100,0.5,0.0001,139.9508744686447,72.04582043989805,36.0780268633052,11.761202461628722,8.453609509700403,5.947243932912146
10,100,1.0,1e-06,53.28107678518327,26.364499886149805,18.387432688676938,7.258151695032666,5.098834206096592,4.256408301051848
10,100,1.0,1e-05,42.59660003152381,24.67373438524562,13.371108295503438,6.486678667466315,4.910495761743918,3.6314073641886617
10,100,1.0,0.0001,37.3103094888453,19.760540333953355,11.30875438868998,6.077738682814418,4.408728673840754,3.344423777063833
