n,d,epsilon,Laplace MSE,Gaussian MSE,Laplace SD,Gaussian SD
10,1,0.05,8.205646287665596,39.010988693045235,2.8225195685830964,6.183659962742136
10,1,0.1,1.9679710927489265,10.164665588927488,1.3910787491572025,3.1574397761996122
10,1,0.5,0.07607179182840687,0.36848132285333646,0.2732282662713173,0.6033928926655945
10,1,1.0,0.022308228252032148,0.08983767948863994,0.14683073496529778,0.2981712476261168
10,1,2.0,0.005393359851061406,0.02354243734212009,0.07287413328079381,0.1525240427682621
10,1,5.0,0.0008429501189710798,0.003650109388149392,0.02866869405981124,0.0600593642267809
10,5,0.05,7.90274572837416,38.83447123424756,2.777137421507107,6.185663441749567
10,5,0.1,2.1633773977614688,9.175268529535984,1.454922766930989,3.00871822646322
10,5,0.5,0.07757227543223257,0.40050381821615383,0.27516564690916734,0.6282444847817065
10,5,1.0,0.020653542408570483,0.09748173753056522,0.1421576402616002,0.30989307668049804
10,5,2.0,0.005105116049419736,0.02437108022465913,0.07051224743254456,0.15494435837976855
10,5,5.0,0.0008461337010908622,0.003760285674576781,0.028548888125945686,0.06103986502588545
10,10,0.05,7.125574926831274,39.19672267682124,2.6497598571491,6.227987155383577
10,10,0.1,2.20852951565207,9.918944792675982,1.4781441732081846,3.1267997916136747
10,10,0.5,0.08033278429048213,0.3795362630617536,0.2811878928899222,0.6079067201016257
10,10,1.0,0.018749463034414333,0.09327023910521341,0.1353649173288689,0.303006310701943
10,10,2.0,0.005237803029570562,0.024778926141008652,0.07171553076212762,0.15581074815431153
10,10,5.0,0.0007993810581034662,0.003752009047987706,0.027866537166598936,0.06082577001419055
10,50,0.05,8.336824175367031,35.384407626358865,2.840252827477487,5.907147187897846
10,50,0.1,2.3376197263274956,9.42481236927338,1.514047451132551,3.0512567178650993
10,50,0.5,0.08224715151261752,0.39658485099878266,0.28276729041901005,0.6262747307953276
10,50,1.0,0.01877455330007281,0.09607277698479844,0.1349720174150982,0.30828752471628296
10,50,2.0,0.005712556184575001,0.025247807562869318,0.07444121384428141,0.15683961190148168
10,50,5.0,0.0007472837394187188,0.003802150167671102,0.027036905514010667,0.06084605108359509
10,100,0.05,7.653561915439594,40.59498175685444,2.735898323709179,6.3294832652154005
10,100,0.1,2.0796453351306874,10.085382583591628,1.4149869372146013,3.156961472781113
10,100,0.5,0.08078246268757572,0.3870705812850355,0.2816482097336804,0.6098861299273481
10,100,1.0,0.021703117926807215,0.08426688762355303,0.14310130955439151,0.28853416863373293
10,100,2.0,0.004912850141663374,0.02336210759198813,0.06944253150009314,0.1516559500833862
10,100,5.0,0.0009150486266505763,0.004009145647403349,0.030024055903310996,0.06300509411637563
50,1,0.05,0.35065763100492103,1.6147894703953387,0.5887498351254298,1.261971144747315
50,1,0.1,0.07762108814977123,0.3611633952400401,0.27668446126411195,0.5963160987590228
50,1,0.5,0.0030555739976332675,0.01634711105397828,0.05474064540638375,0.12734797510743057
50,1,1.0,0.0008438367022821005,0.0038340980114369683,0.028784425164048992,0.0616280125478364
50,1,2.0,0.00017861575561477352,0.000910028885346598,0.013230273439860893,0.030014971357201835
50,1,5.0,3.066012738323986e-05,0.00016711886677831843,0.0054807649380277604,0.01287311391083846
50,5,0.05,0.35941654459061567,1.4836258150242212,0.5929745420611968,1.2119309651623706
50,5,0.1,0.07832777626953917,0.37235999168175454,0.2775628926865585,0.6071055096048817
50,5,0.5,0.0031072420668019143,0.016569632963281986,0.05468122009673306,0.12767513625058777
50,5,1.0,0.0008473698865248909,0.003839840224094406,0.02865518106256366,0.06152488705647926
50,5,2.0,0.0001908745045664045,0.0009072357802245217,0.013682741339904441,0.030020366507118812
50,5,5.0,2.9750755950164145e-05,0.00016148483493509154,0.005415029618115541,0.012600373916207757
50,10,0.05,0.3220879082593039,1.5816166715905629,0.5647544256208328,1.2469645531249829
50,10,0.1,0.07136755712241856,0.3966805136806066,0.2640506428908535,0.6256562085038182
50,10,0.5,0.0033213916951807614,0.016732307752609817,0.05719922182555318,0.1283965783680209
50,10,1.0,0.0008040641274143296,0.004031011713370081,0.028003901798993657,0.06309330201999042
50,10,2.0,0.00019813023471407218,0.0009663190602641873,0.013923570800575463,0.030869794353345564
50,10,5.0,3.233969496709538e-05,0.00015044133997293638,0.00562118623888158,0.012128439332281355
50,50,0.05,0.30116722025036297,1.4764983322981888,0.5445420341282359,1.2026482195419266
50,50,0.1,0.08238143463317107,0.3825869776742848,0.28349790172022027,0.6099414256030432
50,50,0.5,0.0034822155731394355,0.015685326444758237,0.05811084876171667,0.1243411621058137
50,50,1.0,0.0007552713646855984,0.003959093946100221,0.027084743713979988,0.06227060131019997
50,50,2.0,0.00018413645595990652,0.0009309558739571911,0.013402809890035,0.030287411879948063
50,50,5.0,3.1857843588626176e-05,0.00015821283663376663,0.005599200017527007,0.012515720369340405
50,100,0.05,0.3120372848295723,1.680229383450346,0.5514141762265481,1.2881306141720192
50,100,0.1,0.08294481897252234,0.40418224622786425,0.28510021068188485,0.6337976537014745
50,100,0.5,0.003662369021525812,0.015310714342954465,0.05979219850779893,0.1219927209069569
50,100,1.0,0.0007245725891284327,0.0038082982582923106,0.026731217812198803,0.06125839812874714
50,100,2.0,0.00018077627014648247,0.0009462844186494858,0.013282856372847698,0.030574935893071236
50,100,5.0,3.1341821564515654e-05,0.00014578924782557976,0.005546097398315698,0.011991056382981261
100,1,0.05,0.07350104416183792,0.3623814414895789,0.26932131007064875,0.5974075028455139
100,1,0.1,0.02008219461584675,0.09628377319876533,0.1403285597969091,0.30845178676877266
100,1,0.5,0.0007511109380427874,0.0038714922082339525,0.0271329024975386,0.06150252271851296
100,1,1.0,0.0002115851625297322,0.0009168547129659876,0.014476415431154377,0.030007500558588286
100,1,2.0,5.760392972787086e-05,0.00023724448562556315,0.007471353999527627,0.015344110470251204
100,1,5.0,7.6074284157517185e-06,3.97523487956477e-05,0.0027249358038661043,0.006274959753937307
100,5,0.05,0.08791471799919674,0.4016851848114883,0.29311724226337504,0.6302536793625184
100,5,0.1,0.02141598238184976,0.09784239341861421,0.14533166265671632,0.31132316094962326
100,5,0.5,0.0007186930750471361,0.0036742123455636142,0.02658943237106167,0.0598467170656927
100,5,1.0,0.00019737871622953147,0.0009659237247639816,0.013865905819821311,0.030850434294391736
100,5,2.0,4.8767370577288185e-05,0.00024805500279661934,0.006921459257250495,0.015640674737554018
