n,epsilon,RR_MSE,RR_MAE,RR_STD,Lap_MSE,Lap_MAE,Lap_STD
500,0.2,0.0009575960000000003,0.024836000000000004,0.02157695597036289,0.00019596679157333637,0.009805495698146729,0.013842816393879789
500,0.5,0.0006832480000000002,0.021242,0.021314999408898954,3.267422268187265e-05,0.004078919941465847,0.005669777068857561
500,1.0,0.0004780720000000003,0.017358000000000005,0.02011345955308248,8.412828212373149e-06,0.002079930016229821,0.0028871073300295
500,2.0,0.0002355240000000002,0.012308000000000006,0.014429954154901734,2.0381521216662406e-06,0.0010111807910224127,0.0014133136805176486
500,5.0,1.3300000000000012e-05,0.002782000000000001,0.0035908864390297923,3.2557285833298905e-07,0.00040563758313308157,0.0005660167427288297
500,10.0,7.999999999999979e-08,3.799999999999995e-05,0.0002565045419485934,8.431804657757857e-08,0.0002048880065960264,0.00028759743451492817
1000,0.05,0.0006374785000000006,0.020106500000000006,0.015844791193915707,0.0008186742400204986,0.020253071820257883,0.02818784624167033
1000,0.1,0.0005782795000000003,0.019136500000000008,0.015854691370462165,0.00017554199223418208,0.009588543431485486,0.01313808705670528
1000,0.2,0.00036401100000000024,0.015255000000000005,0.015364407116146181,4.8411876150776267e-05,0.004964497973701313,0.006890937909633134
1000,0.5,0.0003809410000000004,0.015396000000000007,0.015996071182610865,7.780911018926098e-06,0.0019747109094340803,0.002762756037414851
1000,1.0,0.00027497000000000003,0.013267000000000004,0.013970685810516376,2.1242349235909817e-06,0.0010247162219504777,0.0014341895499467938
1000,2.0,0.00011715250000000001,0.0087065,0.010180012064490623,4.6657732415977616e-07,0.00048538717671551087,0.0006759935842723705
1000,5.0,5.995000000000009e-06,0.0018930000000000012,0.0024268662019317493,8.036855878083934e-08,0.0001989240608974538,0.0002811764882149466
1000,10.0,4.800000000000009e-08,4.600000000000004e-05,0.00020596843217987685,2.1146583795058685e-08,9.974934307204372e-05,0.0001436532188159219
5000,0.05,0.0001035168000000001,0.008244800000000007,0.0070858503488111626,3.198369448027513e-05,0.004057842243120453,0.005601790292452282
5000,0.1,7.226768000000012e-05,0.0068310000000000055,0.007101923580737307,7.677136033955916e-06,0.001979104669798216,0.0027441411676026764
5000,0.2,9.907870000000012e-05,0.007728100000000003,0.007054637764365474,1.947220491543478e-06,0.0009888466803159455,0.0013790287447102104
5000,0.5,8.002714000000002e-05,0.0071589,0.006781801038442991,3.02962746525193e-07,0.0003908047604700488,0.0005420518741480219
5000,1.0,5.9612660000000044e-05,0.006234300000000001,0.006293746700077242,7.893928808610249e-08,0.00019730239994964087,0.00027700106717909093
5000,2.0,2.1900880000000025e-05,0.0037352000000000023,0.004484500241508116,2.0714844269443715e-08,0.00010022658632788164,0.00014233929955306926
5000,5.0,1.2226400000000038e-06,0.0008804000000000008,0.0010970760359502456,3.2680029997332198e-09,4.0621785933635354e-05,5.6530062898217365e-05
5000,10.0,9.43999999999963e-09,4.279999999999889e-05,9.514379033331933e-05,7.937069560748394e-10,2.0014381943896766e-05,2.803381939484421e-05
